ID_code,target
train_0,0.02
train_1,0.11
train_2,0.02
train_3,0.15
train_4,0.15
train_5,0.11
train_6,0.05
train_7,0.12
train_8,0.08
train_9,0.03
train_10,0.09
train_11,0.1
train_12,0.09
train_13,0.23
train_14,0.24
train_15,0.2
train_16,0.07
train_17,0.08
train_18,0.07
train_19,0.11
train_20,0.09
train_21,0.06
train_22,0.14
train_23,0.09
train_24,0.06
train_25,0.11
train_26,0.09
train_27,0.07
train_28,0.01
train_29,0.18
train_30,0.13
train_31,0.09
train_32,0.06
train_33,0.22
train_34,0.08
train_35,0.1
train_36,0.07
train_37,0.14
train_38,0.18
train_39,0.03
train_40,0.07
train_41,0.14
train_42,0.13
train_43,0.04
train_44,0.06
train_45,0.13
train_46,0.04
train_47,0.16
train_48,0.1
train_49,0.07
train_50,0.08
train_51,0.16
train_52,0.02
train_53,0.11
train_54,0.03
train_55,0.03
train_56,0.16
train_57,0.16
train_58,0.05
train_59,0.06
train_60,0.07
train_61,0.12
train_62,0.09
train_63,0.25
train_64,0.08
train_65,0.21
train_66,0.01
train_67,0.14
train_68,0.13
train_69,0.06
train_70,0.09
train_71,0.19
train_72,0.27
train_73,0.13
train_74,0.12
train_75,0.22
train_76,0.18
train_77,0.09
train_78,0.06
train_79,0.05
train_80,0.09
train_81,0.07
train_82,0.07
train_83,0.09
train_84,0.2
train_85,0.11
train_86,0.13
train_87,0.06
train_88,0.14
train_89,0.11
train_90,0.12
train_91,0.03
train_92,0.04
train_93,0.13
train_94,0.08
train_95,0.09
train_96,0.08
train_97,0.06
train_98,0.07
train_99,0.15
train_100,0.07
train_101,0.04
train_102,0.09
train_103,0.08
train_104,0.16
train_105,0.18
train_106,0.06
train_107,0.18
train_108,0.13
train_109,0.03
train_110,0.08
train_111,0.07
train_112,0.17
train_113,0.06
train_114,0.05
train_115,0.15
train_116,0.19
train_117,0.02
train_118,0.1
train_119,0.1
train_120,0.21
train_121,0.25
train_122,0.14
train_123,0.2
train_124,0.08
train_125,0.12
train_126,0.16
train_127,0.08
train_128,0.04
train_129,0.18
train_130,0.27
train_131,0.12
train_132,0.25
train_133,0.02
train_134,0.11
train_135,0.11
train_136,0.06
train_137,0.1
train_138,0.16
train_139,0.05
train_140,0.21
train_141,0.18
train_142,0.16
train_143,0.11
train_144,0.16
train_145,0.18
train_146,0.07
train_147,0.14
train_148,0.11
train_149,0.13
train_150,0.06
train_151,0.15
train_152,0.04
train_153,0.05
train_154,0.1
train_155,0.02
train_156,0.08
train_157,0.11
train_158,0.07
train_159,0.04
train_160,0.07
train_161,0.08
train_162,0.05
train_163,0.1
train_164,0.16
train_165,0.13
train_166,0.15
train_167,0.14
train_168,0.07
train_169,0.01
train_170,0.08
train_171,0.07
train_172,0.06
train_173,0.07
train_174,0.04
train_175,0.03
train_176,0.08
train_177,0.21
train_178,0.22
train_179,0.06
train_180,0.12
train_181,0.08
train_182,0.15
train_183,0.12
train_184,0.07
train_185,0.16
train_186,0.07
train_187,0.1
train_188,0.02
train_189,0.13
train_190,0.03
train_191,0.15
train_192,0.07
train_193,0.15
train_194,0.07
train_195,0.16
train_196,0.1
train_197,0.15
train_198,0.2
train_199,0.1
train_200,0.14
train_201,0.19
train_202,0.17
train_203,0.11
train_204,0.12
train_205,0.06
train_206,0.14
train_207,0.18
train_208,0.12
train_209,0.08
train_210,0.14
train_211,0.2
train_212,0.18
train_213,0.09
train_214,0.18
train_215,0.18
train_216,0.18
train_217,0.12
train_218,0.18
train_219,0.13
train_220,0.16
train_221,0.18
train_222,0.09
train_223,0.14
train_224,0.02
train_225,0.18
train_226,0.12
train_227,0.09
train_228,0.25
train_229,0.1
train_230,0.26
train_231,0.08
train_232,0.13
train_233,0.14
train_234,0.27
train_235,0.11
train_236,0.14
train_237,0.01
train_238,0.18
train_239,0.23
train_240,0.03
train_241,0.11
train_242,0.19
train_243,0.1
train_244,0.23
train_245,0.09
train_246,0.2
train_247,0.11
train_248,0.08
train_249,0.11
train_250,0.05
train_251,0.12
train_252,0.19
train_253,0.08
train_254,0.05
train_255,0.1
train_256,0.04
train_257,0.06
train_258,0.05
train_259,0.03
train_260,0.18
train_261,0.11
train_262,0.11
train_263,0.28
train_264,0.04
train_265,0.11
train_266,0.12
train_267,0.08
train_268,0.07
train_269,0.05
train_270,0.03
train_271,0.1
train_272,0.06
train_273,0.01
train_274,0.02
train_275,0.1
train_276,0.09
train_277,0.13
train_278,0.06
train_279,0.08
train_280,0.04
train_281,0.13
train_282,0.09
train_283,0.06
train_284,0.08
train_285,0.16
train_286,0.03
train_287,0.08
train_288,0.21
train_289,0.12
train_290,0.08
train_291,0.07
train_292,0.05
train_293,0.11
train_294,0.02
train_295,0.14
train_296,0.15
train_297,0.12
train_298,0.09
train_299,0.06
train_300,0.09
train_301,0.12
train_302,0.14
train_303,0.1
train_304,0.09
train_305,0.12
train_306,0.08
train_307,0.03
train_308,0.14
train_309,0.22
train_310,0.21
train_311,0.1
train_312,0.12
train_313,0.09
train_314,0.13
train_315,0.1
train_316,0.04
train_317,0.05
train_318,0.03
train_319,0.25
train_320,0.13
train_321,0.07
train_322,0.03
train_323,0.24
train_324,0.19
train_325,0.18
train_326,0.16
train_327,0.13
train_328,0.12
train_329,0.13
train_330,0.18
train_331,0.14
train_332,0.18
train_333,0.22
train_334,0.13
train_335,0.17
train_336,0.06
train_337,0.0
train_338,0.18
train_339,0.02
train_340,0.05
train_341,0.2
train_342,0.08
train_343,0.1
train_344,0.07
train_345,0.03
train_346,0.06
train_347,0.12
train_348,0.13
train_349,0.11
train_350,0.1
train_351,0.12
train_352,0.06
train_353,0.1
train_354,0.21
train_355,0.21
train_356,0.1
train_357,0.06
train_358,0.04
train_359,0.05
train_360,0.14
train_361,0.14
train_362,0.09
train_363,0.25
train_364,0.08
train_365,0.09
train_366,0.14
train_367,0.18
train_368,0.17
train_369,0.11
train_370,0.03
train_371,0.04
train_372,0.03
train_373,0.09
train_374,0.04
train_375,0.08
train_376,0.06
train_377,0.13
train_378,0.1
train_379,0.11
train_380,0.17
train_381,0.04
train_382,0.14
train_383,0.1
train_384,0.08
train_385,0.1
train_386,0.07
train_387,0.06
train_388,0.19
train_389,0.11
train_390,0.08
train_391,0.11
train_392,0.1
train_393,0.24
train_394,0.18
train_395,0.16
train_396,0.16
train_397,0.09
train_398,0.15
train_399,0.15
train_400,0.04
train_401,0.1
train_402,0.07
train_403,0.04
train_404,0.18
train_405,0.06
train_406,0.36
train_407,0.03
train_408,0.11
train_409,0.19
train_410,0.07
train_411,0.23
train_412,0.05
train_413,0.01
train_414,0.17
train_415,0.01
train_416,0.19
train_417,0.3
train_418,0.12
train_419,0.12
train_420,0.25
train_421,0.09
train_422,0.24
train_423,0.06
train_424,0.12
train_425,0.13
train_426,0.08
train_427,0.23
train_428,0.13
train_429,0.25
train_430,0.08
train_431,0.21
train_432,0.04
train_433,0.16
train_434,0.08
train_435,0.15
train_436,0.09
train_437,0.05
train_438,0.26
train_439,0.11
train_440,0.07
train_441,0.06
train_442,0.1
train_443,0.15
train_444,0.08
train_445,0.23
train_446,0.05
train_447,0.16
train_448,0.13
train_449,0.12
train_450,0.04
train_451,0.09
train_452,0.15
train_453,0.04
train_454,0.02
train_455,0.03
train_456,0.12
train_457,0.16
train_458,0.15
train_459,0.17
train_460,0.08
train_461,0.17
train_462,0.01
train_463,0.25
train_464,0.06
train_465,0.04
train_466,0.08
train_467,0.23
train_468,0.12
train_469,0.13
train_470,0.08
train_471,0.08
train_472,0.2
train_473,0.19
train_474,0.12
train_475,0.21
train_476,0.11
train_477,0.14
train_478,0.08
train_479,0.14
train_480,0.14
train_481,0.1
train_482,0.06
train_483,0.34
train_484,0.26
train_485,0.08
train_486,0.01
train_487,0.11
train_488,0.13
train_489,0.08
train_490,0.09
train_491,0.11
train_492,0.05
train_493,0.04
train_494,0.09
train_495,0.07
train_496,0.12
train_497,0.07
train_498,0.06
train_499,0.12
train_500,0.16
train_501,0.16
train_502,0.08
train_503,0.0
train_504,0.06
train_505,0.1
train_506,0.2
train_507,0.08
train_508,0.03
train_509,0.11
train_510,0.19
train_511,0.12
train_512,0.11
train_513,0.04
train_514,0.08
train_515,0.09
train_516,0.1
train_517,0.05
train_518,0.13
train_519,0.04
train_520,0.13
train_521,0.11
train_522,0.1
train_523,0.02
train_524,0.07
train_525,0.09
train_526,0.11
train_527,0.04
train_528,0.1
train_529,0.06
train_530,0.15
train_531,0.07
train_532,0.2
train_533,0.05
train_534,0.09
train_535,0.13
train_536,0.21
train_537,0.06
train_538,0.12
train_539,0.02
train_540,0.14
train_541,0.23
train_542,0.04
train_543,0.1
train_544,0.08
train_545,0.03
train_546,0.07
train_547,0.09
train_548,0.01
train_549,0.13
train_550,0.08
train_551,0.24
train_552,0.16
train_553,0.02
train_554,0.11
train_555,0.08
train_556,0.11
train_557,0.13
train_558,0.06
train_559,0.04
train_560,0.07
train_561,0.16
train_562,0.24
train_563,0.04
train_564,0.1
train_565,0.01
train_566,0.0
train_567,0.06
train_568,0.03
train_569,0.1
train_570,0.11
train_571,0.13
train_572,0.21
train_573,0.03
train_574,0.12
train_575,0.12
train_576,0.15
train_577,0.18
train_578,0.04
train_579,0.23
train_580,0.03
train_581,0.07
train_582,0.11
train_583,0.13
train_584,0.09
train_585,0.08
train_586,0.11
train_587,0.13
train_588,0.05
train_589,0.14
train_590,0.1
train_591,0.1
train_592,0.18
train_593,0.07
train_594,0.15
train_595,0.04
train_596,0.23
train_597,0.03
train_598,0.05
train_599,0.09
train_600,0.05
train_601,0.16
train_602,0.14
train_603,0.08
train_604,0.23
train_605,0.06
train_606,0.03
train_607,0.13
train_608,0.09
train_609,0.07
train_610,0.06
train_611,0.23
train_612,0.07
train_613,0.14
train_614,0.08
train_615,0.12
train_616,0.11
train_617,0.17
train_618,0.22
train_619,0.18
train_620,0.1
train_621,0.09
train_622,0.21
train_623,0.07
train_624,0.08
train_625,0.04
train_626,0.08
train_627,0.03
train_628,0.08
train_629,0.16
train_630,0.04
train_631,0.03
train_632,0.09
train_633,0.07
train_634,0.12
train_635,0.32
train_636,0.01
train_637,0.23
train_638,0.07
train_639,0.01
train_640,0.07
train_641,0.02
train_642,0.02
train_643,0.08
train_644,0.05
train_645,0.18
train_646,0.09
train_647,0.13
train_648,0.08
train_649,0.06
train_650,0.25
train_651,0.06
train_652,0.21
train_653,0.11
train_654,0.05
train_655,0.03
train_656,0.05
train_657,0.11
train_658,0.27
train_659,0.03
train_660,0.09
train_661,0.02
train_662,0.11
train_663,0.07
train_664,0.18
train_665,0.07
train_666,0.06
train_667,0.16
train_668,0.11
train_669,0.2
train_670,0.07
train_671,0.11
train_672,0.05
train_673,0.02
train_674,0.07
train_675,0.07
train_676,0.14
train_677,0.09
train_678,0.06
train_679,0.13
train_680,0.05
train_681,0.06
train_682,0.03
train_683,0.12
train_684,0.12
train_685,0.07
train_686,0.04
train_687,0.06
train_688,0.08
train_689,0.07
train_690,0.13
train_691,0.11
train_692,0.05
train_693,0.1
train_694,0.1
train_695,0.06
train_696,0.05
train_697,0.21
train_698,0.06
train_699,0.04
train_700,0.02
train_701,0.14
train_702,0.06
train_703,0.04
train_704,0.15
train_705,0.2
train_706,0.27
train_707,0.13
train_708,0.15
train_709,0.22
train_710,0.22
train_711,0.07
train_712,0.12
train_713,0.08
train_714,0.17
train_715,0.21
train_716,0.08
train_717,0.14
train_718,0.14
train_719,0.1
train_720,0.1
train_721,0.0
train_722,0.15
train_723,0.09
train_724,0.08
train_725,0.14
train_726,0.1
train_727,0.1
train_728,0.12
train_729,0.11
train_730,0.15
train_731,0.05
train_732,0.09
train_733,0.03
train_734,0.14
train_735,0.19
train_736,0.07
train_737,0.08
train_738,0.15
train_739,0.16
train_740,0.17
train_741,0.07
train_742,0.04
train_743,0.01
train_744,0.08
train_745,0.08
train_746,0.1
train_747,0.19
train_748,0.12
train_749,0.12
train_750,0.09
train_751,0.07
train_752,0.07
train_753,0.03
train_754,0.02
train_755,0.03
train_756,0.2
train_757,0.14
train_758,0.25
train_759,0.1
train_760,0.13
train_761,0.2
train_762,0.07
train_763,0.08
train_764,0.03
train_765,0.01
train_766,0.08
train_767,0.1
train_768,0.1
train_769,0.23
train_770,0.19
train_771,0.07
train_772,0.28
train_773,0.03
train_774,0.1
train_775,0.16
train_776,0.07
train_777,0.1
train_778,0.04
train_779,0.12
train_780,0.21
train_781,0.06
train_782,0.07
train_783,0.08
train_784,0.11
train_785,0.11
train_786,0.03
train_787,0.09
train_788,0.17
train_789,0.06
train_790,0.01
train_791,0.01
train_792,0.12
train_793,0.08
train_794,0.12
train_795,0.1
train_796,0.15
train_797,0.06
train_798,0.15
train_799,0.05
train_800,0.17
train_801,0.17
train_802,0.12
train_803,0.25
train_804,0.21
train_805,0.1
train_806,0.23
train_807,0.22
train_808,0.14
train_809,0.22
train_810,0.15
train_811,0.05
train_812,0.16
train_813,0.03
train_814,0.08
train_815,0.04
train_816,0.25
train_817,0.27
train_818,0.02
train_819,0.06
train_820,0.12
train_821,0.12
train_822,0.06
train_823,0.13
train_824,0.09
train_825,0.1
train_826,0.21
train_827,0.15
train_828,0.12
train_829,0.11
train_830,0.16
train_831,0.09
train_832,0.07
train_833,0.03
train_834,0.11
train_835,0.1
train_836,0.12
train_837,0.13
train_838,0.09
train_839,0.14
train_840,0.17
train_841,0.03
train_842,0.16
train_843,0.07
train_844,0.2
train_845,0.09
train_846,0.08
train_847,0.09
train_848,0.09
train_849,0.11
train_850,0.08
train_851,0.05
train_852,0.16
train_853,0.07
train_854,0.09
train_855,0.06
train_856,0.2
train_857,0.12
train_858,0.04
train_859,0.02
train_860,0.1
train_861,0.21
train_862,0.04
train_863,0.12
train_864,0.11
train_865,0.11
train_866,0.05
train_867,0.18
train_868,0.18
train_869,0.18
train_870,0.05
train_871,0.07
train_872,0.15
train_873,0.11
train_874,0.07
train_875,0.01
train_876,0.21
train_877,0.18
train_878,0.11
train_879,0.1
train_880,0.08
train_881,0.11
train_882,0.03
train_883,0.12
train_884,0.05
train_885,0.17
train_886,0.15
train_887,0.1
train_888,0.06
train_889,0.34
train_890,0.05
train_891,0.06
train_892,0.02
train_893,0.1
train_894,0.18
train_895,0.13
train_896,0.19
train_897,0.07
train_898,0.13
train_899,0.05
train_900,0.1
train_901,0.02
train_902,0.08
train_903,0.09
train_904,0.09
train_905,0.0
train_906,0.08
train_907,0.03
train_908,0.13
train_909,0.07
train_910,0.13
train_911,0.17
train_912,0.15
train_913,0.1
train_914,0.08
train_915,0.05
train_916,0.11
train_917,0.13
train_918,0.09
train_919,0.03
train_920,0.09
train_921,0.01
train_922,0.08
train_923,0.15
train_924,0.05
train_925,0.05
train_926,0.24
train_927,0.15
train_928,0.29
train_929,0.1
train_930,0.08
train_931,0.17
train_932,0.12
train_933,0.23
train_934,0.11
train_935,0.04
train_936,0.03
train_937,0.05
train_938,0.09
train_939,0.3
train_940,0.11
train_941,0.03
train_942,0.1
train_943,0.1
train_944,0.12
train_945,0.13
train_946,0.1
train_947,0.12
train_948,0.21
train_949,0.1
train_950,0.08
train_951,0.1
train_952,0.07
train_953,0.16
train_954,0.19
train_955,0.33
train_956,0.07
train_957,0.06
train_958,0.18
train_959,0.14
train_960,0.1
train_961,0.09
train_962,0.06
train_963,0.13
train_964,0.06
train_965,0.03
train_966,0.15
train_967,0.15
train_968,0.08
train_969,0.07
train_970,0.06
train_971,0.1
train_972,0.09
train_973,0.06
train_974,0.19
train_975,0.16
train_976,0.11
train_977,0.06
train_978,0.13
train_979,0.14
train_980,0.2
train_981,0.12
train_982,0.11
train_983,0.1
train_984,0.1
train_985,0.04
train_986,0.01
train_987,0.12
train_988,0.13
train_989,0.07
train_990,0.02
train_991,0.21
train_992,0.05
train_993,0.19
train_994,0.07
train_995,0.1
train_996,0.09
train_997,0.03
train_998,0.21
train_999,0.12
train_1000,0.12
train_1001,0.1
train_1002,0.04
train_1003,0.2
train_1004,0.26
train_1005,0.19
train_1006,0.28
train_1007,0.13
train_1008,0.15
train_1009,0.03
train_1010,0.07
train_1011,0.16
train_1012,0.13
train_1013,0.03
train_1014,0.14
train_1015,0.07
train_1016,0.08
train_1017,0.14
train_1018,0.1
train_1019,0.08
train_1020,0.09
train_1021,0.02
train_1022,0.08
train_1023,0.15
train_1024,0.08
train_1025,0.07
train_1026,0.1
train_1027,0.06
train_1028,0.1
train_1029,0.12
train_1030,0.09
train_1031,0.16
train_1032,0.02
train_1033,0.11
train_1034,0.08
train_1035,0.09
train_1036,0.25
train_1037,0.12
train_1038,0.06
train_1039,0.04
train_1040,0.11
train_1041,0.01
train_1042,0.19
train_1043,0.02
train_1044,0.03
train_1045,0.06
train_1046,0.06
train_1047,0.04
train_1048,0.05
train_1049,0.03
train_1050,0.14
train_1051,0.16
train_1052,0.13
train_1053,0.0
train_1054,0.12
train_1055,0.13
train_1056,0.05
train_1057,0.09
train_1058,0.02
train_1059,0.08
train_1060,0.07
train_1061,0.07
train_1062,0.24
train_1063,0.16
train_1064,0.16
train_1065,0.23
train_1066,0.07
train_1067,0.12
train_1068,0.09
train_1069,0.04
train_1070,0.1
train_1071,0.11
train_1072,0.04
train_1073,0.07
train_1074,0.07
train_1075,0.09
train_1076,0.41
train_1077,0.03
train_1078,0.22
train_1079,0.12
train_1080,0.12
train_1081,0.06
train_1082,0.09
train_1083,0.14
train_1084,0.07
train_1085,0.05
train_1086,0.19
train_1087,0.2
train_1088,0.28
train_1089,0.08
train_1090,0.11
train_1091,0.33
train_1092,0.13
train_1093,0.24
train_1094,0.01
train_1095,0.07
train_1096,0.11
train_1097,0.05
train_1098,0.25
train_1099,0.09
train_1100,0.14
train_1101,0.16
train_1102,0.09
train_1103,0.14
train_1104,0.07
train_1105,0.09
train_1106,0.15
train_1107,0.01
train_1108,0.1
train_1109,0.03
train_1110,0.06
train_1111,0.06
train_1112,0.02
train_1113,0.13
train_1114,0.14
train_1115,0.05
train_1116,0.26
train_1117,0.11
train_1118,0.07
train_1119,0.05
train_1120,0.12
train_1121,0.21
train_1122,0.11
train_1123,0.1
train_1124,0.04
train_1125,0.04
train_1126,0.07
train_1127,0.24
train_1128,0.18
train_1129,0.07
train_1130,0.06
train_1131,0.14
train_1132,0.16
train_1133,0.18
train_1134,0.11
train_1135,0.06
train_1136,0.11
train_1137,0.17
train_1138,0.06
train_1139,0.06
train_1140,0.07
train_1141,0.0
train_1142,0.09
train_1143,0.18
train_1144,0.06
train_1145,0.12
train_1146,0.12
train_1147,0.04
train_1148,0.02
train_1149,0.04
train_1150,0.04
train_1151,0.11
train_1152,0.01
train_1153,0.03
train_1154,0.05
train_1155,0.21
train_1156,0.11
train_1157,0.02
train_1158,0.14
train_1159,0.11
train_1160,0.14
train_1161,0.07
train_1162,0.14
train_1163,0.07
train_1164,0.07
train_1165,0.1
train_1166,0.1
train_1167,0.07
train_1168,0.16
train_1169,0.04
train_1170,0.04
train_1171,0.19
train_1172,0.05
train_1173,0.07
train_1174,0.11
train_1175,0.09
train_1176,0.17
train_1177,0.19
train_1178,0.03
train_1179,0.06
train_1180,0.17
train_1181,0.08
train_1182,0.2
train_1183,0.12
train_1184,0.06
train_1185,0.08
train_1186,0.2
train_1187,0.06
train_1188,0.05
train_1189,0.09
train_1190,0.1
train_1191,0.14
train_1192,0.04
train_1193,0.07
train_1194,0.06
train_1195,0.18
train_1196,0.11
train_1197,0.18
train_1198,0.06
train_1199,0.06
train_1200,0.03
train_1201,0.06
train_1202,0.08
train_1203,0.08
train_1204,0.08
train_1205,0.09
train_1206,0.16
train_1207,0.04
train_1208,0.09
train_1209,0.33
train_1210,0.13
train_1211,0.07
train_1212,0.11
train_1213,0.07
train_1214,0.06
train_1215,0.09
train_1216,0.3
train_1217,0.1
train_1218,0.09
train_1219,0.06
train_1220,0.09
train_1221,0.08
train_1222,0.06
train_1223,0.03
train_1224,0.14
train_1225,0.1
train_1226,0.09
train_1227,0.15
train_1228,0.16
train_1229,0.06
train_1230,0.11
train_1231,0.06
train_1232,0.09
train_1233,0.05
train_1234,0.15
train_1235,0.34
train_1236,0.16
train_1237,0.13
train_1238,0.11
train_1239,0.05
train_1240,0.06
train_1241,0.17
train_1242,0.15
train_1243,0.0
train_1244,0.06
train_1245,0.16
train_1246,0.05
train_1247,0.14
train_1248,0.18
train_1249,0.1
train_1250,0.19
train_1251,0.08
train_1252,0.07
train_1253,0.27
train_1254,0.02
train_1255,0.2
train_1256,0.07
train_1257,0.22
train_1258,0.05
train_1259,0.09
train_1260,0.24
train_1261,0.1
train_1262,0.0
train_1263,0.11
train_1264,0.08
train_1265,0.04
train_1266,0.14
train_1267,0.12
train_1268,0.11
train_1269,0.05
train_1270,0.02
train_1271,0.05
train_1272,0.05
train_1273,0.07
train_1274,0.09
train_1275,0.19
train_1276,0.28
train_1277,0.03
train_1278,0.29
train_1279,0.06
train_1280,0.05
train_1281,0.08
train_1282,0.07
train_1283,0.07
train_1284,0.17
train_1285,0.11
train_1286,0.08
train_1287,0.07
train_1288,0.15
train_1289,0.18
train_1290,0.01
train_1291,0.08
train_1292,0.08
train_1293,0.03
train_1294,0.11
train_1295,0.09
train_1296,0.14
train_1297,0.08
train_1298,0.09
train_1299,0.19
train_1300,0.13
train_1301,0.14
train_1302,0.1
train_1303,0.02
train_1304,0.12
train_1305,0.15
train_1306,0.14
train_1307,0.19
train_1308,0.04
train_1309,0.12
train_1310,0.12
